Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
b_L,tau_L,"['bT', 'tX']","['bT', 'tX']"
b_L,nu_tau,"['bX', 'tT']","['bX', 'tT']"
b_L,tau,['bT'],['bT']
t_L,B,['t'],['t']
t_L,W^+,['b'],['b']
t_L,W^0,['t'],['t']
t_L,G,['t'],['t']
t_L,H^+,['b'],['b']
t_L,H^0,['t'],['t']
t_L,q,"['bj', 'tj']",['3j']
t_L,d,['tj'],['tj']
t_L,u,['tj'],['tj']
t_L,l,"['tl', 'bX']","['tl', 'bX']"
t_L,nu,"['tX', 'bl']","['tX', 'bl']"
t_L,e,['tl'],['tl']
t_L,b_L,['tb'],['tb']
t_L,t,"['bb', 'tt']","['bb', 'tt']"
t_L,b,['tb'],['tb']
t_L,tau_L,"['bX', 'tT']","['bX', 'tT']"
t_L,nu_tau,"['bT', 'tX']","['bT', 'tX']"
t_L,tau,['tT'],['tT']
t,B,['t'],['t']
t,W^+,"['vt', 'vb']",['v3']
t,W^0,"['vt', 'vb']",['v3']
t,G,['t'],['t']
t,H^+,['b'],['b']
t,H^0,['t'],['t']
t,q,['tj'],['tj']
t,d,['tj'],['tj']
t,u,['tj'],['tj']
t,l,['tl'],['tl']
t,nu,['tX'],['tX']
t,e,['tl'],['tl']
t,b_L,['tb'],['tb']
t,t_L,"['bb', 'tt']","['bb', 'tt']"
t,b,['tb'],['tb']
t,tau_L,['tT'],['tT']
t,nu_tau,['tX'],['tX']
t,tau,['tT'],['tT']
b,B,['b'],['b']
b,W^+,"['vt', 'vb']",['v3']
b,W^0,"['vt', 'vb']",['v3']
b,G,['b'],['b']
b,H^+,['t'],['t']
b,H^0,['b'],['b']
b,q,['bj'],['bj']
b,d,['bj'],['bj']
b,u,['bj'],['bj']
b,l,['bl'],['bl']
b,nu,['bX'],['bX']
b,e,['bl'],['bl']
b,b_L,"['bb', 'tt']","['bb', 'tt']"
b,t_L,['tb'],['tb']
b,t,['tb'],['tb']
b,tau_L,['bT'],['bT']
b,nu_tau,['bX'],['bX']
b,tau,['bT'],['bT']
tau_L,B,['T'],['T']
tau_L,W^+,['X'],['X']
tau_L,W^0,['T'],['T']
tau_L,G,"['bbT', 'ttT', 'jjT', 'tbX', 'jjX']","['(JJ)T', 'tbX', 'jjX']"
tau_L,H^+,"['vT', 'vX']","['vX', 'vT']"
tau_L,H^0,"['vT', 'vX']","['vX', 'vT']"
tau_L,q,"['jT', 'jX']","['jT', 'jX']"
tau_L,d,['jT'],['jT']
tau_L,u,['jT'],['jT']
tau_L,l,"['Tl', 'X']","['Tl', 'X']"
tau_L,nu,"['lX', 'TX']",['LX']
tau_L,e,['Tl'],['Tl']
tau_L,b_L,"['bT', 'tX']","['bT', 'tX']"
tau_L,t_L,"['bX', 'tT']","['bX', 'tT']"
tau_L,t,['tT'],['tT']
tau_L,b,['bT'],['bT']
tau_L,nu_tau,['TX'],['TX']
tau_L,tau,['TT'],['TT']
nu_tau,B,['X'],['X']
nu_tau,W^+,['T'],['T']
nu_tau,W^0,['X'],['X']
nu_tau,G,"['ttX', 'tbT', 'jjX', 'bbX', 'jjT']","['tbT', '(JJ)X', 'jjT']"
nu_tau,H^+,"['vX', 'vT']","['vX', 'vT']"
nu_tau,H^0,"['vX', 'vT']","['vX', 'vT']"
nu_tau,q,"['jT', 'jX']","['jT', 'jX']"
nu_tau,d,['jX'],['jX']
nu_tau,u,['jX'],['jX']
nu_tau,l,"['lX', 'TX']",['LX']
nu_tau,nu,"['Tl', 'X']","['Tl', 'X']"
nu_tau,e,['lX'],['lX']
nu_tau,b_L,"['bX', 'tT']","['bX', 'tT']"
nu_tau,t_L,"['bT', 'tX']","['bT', 'tX']"
nu_tau,t,['tX'],['tX']
nu_tau,b,['bX'],['bX']
nu_tau,tau_L,['TX'],['TX']
nu_tau,tau,['TX'],['TX']
tau,B,['T'],['T']
tau,W^+,"['tbT', 'vvT', 'TlX', 'TTX', 'jjT']","['LTX', 'tbT', 'vvT', 'jjT']"
tau,W^0,"['bbT', 'vvT', 'ttT', 'TTT', 'jjT', 'Tll', 'TX']","['(JJ)T', '(LL)T', 'vvT', 'TX']"
tau,G,"['bbT', 'ttT', 'jjT']",['(JJ)T']
tau,H^+,['vT'],['vT']
tau,H^0,['vT'],['vT']
tau,q,['jT'],['jT']
tau,d,['jT'],['jT']
tau,u,['jT'],['jT']
tau,l,['Tl'],['Tl']
tau,nu,['TX'],['TX']
tau,e,['Tl'],['Tl']
tau,b_L,['bT'],['bT']
tau,t_L,['tT'],['tT']
tau,t,['tT'],['tT']
tau,b,['bT'],['bT']
tau,tau_L,['TT'],['TT']
tau,nu_tau,['TX'],['TX']
