Mother,Daughter,All Possible Signature,Minimal Set (same flavour)
tau,G,"['bbT', 'ttT', 'jjT']",['(JJ)T']
tau,H^+,['vT'],['vT']
tau,H^0,['vT'],['vT']
tau,q,['jT'],['jT']
tau,d,['jT'],['jT']
tau,u,['jT'],['jT']
tau,l,['Tl'],['Tl']
tau,nu,['TE'],['TE']
tau,e,['Tl'],['Tl']
tau,b_L,['bT'],['bT']
tau,t_L,['tT'],['tT']
tau,t,['tT'],['tT']
tau,b,['bT'],['bT']
tau,tau_L,['TT'],['TT']
tau,nu_tau,['TE'],['TE']
